epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,65673.9,1.03175,0.59358,0.87158,0.90454,0.9164,0.96137,0.67824,0.24453,0.1642,0.20528,0.006766,0.006766,0.006766
100,66315.3,1.03749,0.63505,0.87576,0.90256,0.91271,0.96126,0.6781,0.24439,0.16416,0.20533,0.006733,0.006733,0.006733
101,66955.7,0.98129,0.59122,0.84081,0.90418,0.91266,0.96136,0.67807,0.24462,0.16363,0.20532,0.0067,0.0067,0.0067
102,67596.8,1.00296,0.60567,0.84154,0.89931,0.91271,0.96162,0.67833,0.24469,0.16355,0.2053,0.006667,0.006667,0.006667
103,68239.4,0.99799,0.58422,0.86551,0.9005,0.91058,0.9606,0.67869,0.24446,0.16321,0.2052,0.006634,0.006634,0.006634
104,68881.4,0.99932,0.60515,0.84748,0.90142,0.91058,0.9606,0.67902,0.2445,0.16299,0.20518,0.006601,0.006601,0.006601
105,69523.8,1.02925,0.62133,0.86152,0.90236,0.91071,0.961,0.67974,0.24485,0.16279,0.20509,0.006568,0.006568,0.006568
106,70167.6,0.99475,0.6008,0.85919,0.90082,0.91162,0.96092,0.68016,0.24446,0.16274,0.20514,0.006535,0.006535,0.006535
107,70810.8,0.98188,0.57274,0.84054,0.90075,0.91084,0.96112,0.67975,0.24453,0.16258,0.20504,0.006502,0.006502,0.006502
108,71453.5,1.01837,0.60535,0.86147,0.90557,0.91058,0.96151,0.67958,0.24452,0.16271,0.20507,0.006469,0.006469,0.006469
109,72095,1.00678,0.59321,0.83441,0.90726,0.91058,0.96163,0.6798,0.24439,0.16261,0.20505,0.006436,0.006436,0.006436
110,72736.6,0.99486,0.58791,0.83878,0.90719,0.90966,0.96139,0.67898,0.24436,0.16251,0.20505,0.006403,0.006403,0.006403
111,73379,1.03203,0.6243,0.88484,0.90727,0.91056,0.9616,0.67854,0.24423,0.16214,0.20503,0.00637,0.00637,0.00637
112,74021.8,0.94036,0.5715,0.80293,0.90727,0.91056,0.96239,0.67735,0.24445,0.16173,0.20506,0.006337,0.006337,0.006337
113,74663.9,0.98385,0.5671,0.85483,0.90557,0.90995,0.96253,0.67819,0.24456,0.16167,0.20503,0.006304,0.006304,0.006304
114,75306.4,1.00146,0.60252,0.83135,0.90382,0.90876,0.96155,0.67931,0.24464,0.16133,0.20503,0.006271,0.006271,0.006271
115,75949.1,1.00942,0.6018,0.85875,0.90398,0.91056,0.96152,0.67879,0.24431,0.16129,0.205,0.006238,0.006238,0.006238
116,76592.3,1.00124,0.61404,0.83215,0.90562,0.91052,0.96163,0.67918,0.24455,0.16114,0.20495,0.006205,0.006205,0.006205
